Fabric code,Inward Date,Priority,Priority.1,MIGO NO,MIGO Date,Security inward no,Security inward date,LR no.,LR Date,Transporter Name,Inv numb,Invoice Date,Invoice-No. of Rolls,Invoice Qty,Supplier Name ,Fabric Composition,GC / Non GC,PO Number,DA NO,Product,Brand,Sub Brand,UOM,Knit/Woven,FDR-Qty,FDR-NO,Wip Status,Inspection Date,Name of inspector,Inspection Report no.,Inspected roll,Fabric Quantity (Inspected),Inspection Result,PO Width,Avg WIDTH,% Between ActWidth vs PO Width,No of Shade Group,CSV Observation,Lab Test Status,GRN Qty,GRN No.,GRN Date,GRN lead time,Total Fabric Quantity Under FRA,FRA No.,Fra Raised Date,FRA Closure Date,FRA Closure Lead Time,Reason for Delay in GRN,Fabric Quantity (FRA With EC),% EC Approved,Approved By (FRA With EC),Fabric Quantity - RTS,Farbic RTS Date ,RTS Doc no.,RTS LR no.,Sourcing Person ,Date of Invoice Submission to Parking Team ,Type of fabric,REMARKS,GIR,PO ISSUES
FYSDSH1785E,2025-04-02,,,5005712424.0,2025-04-02,45 / 02.04.2025,2025-04-02,SL 12,2025-04-01 00:00:00,MRL LOGISTICS,336,2025-03-31 00:00:00,,644.5,GM EXPORTS,,NON GC,3320005314,ABFRL,SHIRT FABRIC,EXPORT,SUPER DRY,M,Woven,,,GRN Done,2025-04-04 00:00:00,Ujjwal,8033.0,3.0,198.0,Pass,,145.0,,,,Pass,644.5,,2025-04-04,2,,,,,,Within TPT,,,,,,,,,2025-04-05 00:00:00,Yarndyed,,0.0,
FYSDSH1740E,2025-04-02,,,5005712740.0,2025-04-02,43 / 02.04.2025,2025-04-02,SL 18,2025-04-01 00:00:00,MRL LOGISTICS,24-25-2,2025-04-01 00:00:00,38.0,953.6,SNSM TEXTILES,,NON GC,3320005310,ABFRL,SHIRT FABRIC,EXPORT,SUPER DRY,M,Woven,,,GRN Done,2025-04-03 00:00:00,Sibasankar,9131.0,3.0,319.0,Reject,,146.0,,,,Pass,953.6,,2025-04-04,2,,,,,,Within TPT,,,,,,,,,,Stripes,,0.0,
FYSDSH1794E,2025-04-02,,,5005712740.0,2025-04-02,43 / 02.04.2025,2025-04-02,SL 18,2025-04-01 00:00:00,MRL LOGISTICS,24-25-2,2025-04-01 00:00:00,,860.8,SNSM TEXTILES,,NON GC,3320005310,ABFRL,SHIRT FABRIC,EXPORT,SUPER DRY,M,Woven,,,GRN Done,2025-04-05 00:00:00,Rakesh,8472.0,2.0,164.0,Pass,,145.0,,,,Pass,860.8,,2025-04-18,16,860.8,400004784,2025-04-07,2025-04-18,,FDR clouser delay,,,,,,,,Yuvaraj,,Yarndyed,,0.0,
FYSDSH1744E,2025-04-02,,,5005712574.0,2025-04-02,44 / 02.04.2025,2025-04-02,SL 18,2025-04-01 00:00:00,MRL LOGISTICS,24-25-1,2025-04-01 00:00:00,,962.2,SNSM TEXTILES,,NON GC,3320005310,ABFRL,SHIRT FABRIC,EXPORT,SUPER DRY,M,Woven,,,GRN Done,2025-04-03 00:00:00,Kamala,9042.0,3.0,314.0,Pass,,145.5,,,,Pass,962.2,,2025-04-03,1,,,,,,Within TPT,,,,,,,,,,Yarndyed,,0.0,
FYSDSH1787E,2025-04-02,,,5005712574.0,2025-04-02,44 / 02.04.2025,2025-04-02,SL 18,2025-04-01 00:00:00,MRL LOGISTICS,24-25-1,2025-04-01 00:00:00,,781.5,SNSM TEXTILES,,NON GC,3320005310,ABFRL,SHIRT FABRIC,EXPORT,SUPER DRY,M,Woven,,,GRN Done,2025-04-05 00:00:00,Prabhakar,8913.0,3.0,265.0,Pass,,146.0,,,,Pass,781.5,,2025-04-05,3,,,,,,Within TPT,,,,,,,,,,Yarndyed,,0.0,
F325AHTS6860,2025-04-02,,,5005713188.0,2025-04-02,64 / 02.04.2025,2025-04-02,889041,2025-03-26 00:00:00,FLYWING CARGO,GJ4-25005169,2025-03-26 00:00:00,4.0,1036.0,ORBIT EXPORTS LTD,,NON GC,3310058723,ABFRL,SHIRT FABRIC,ASWW,AH,M,Woven,,,GRN Done,2025-04-05 00:00:00,Bikram ,9144.0,3.0,236.0,Reject,,145.0,,3.0,,Pass,1036.0,,2025-04-16,14,1036.0,200007728,2025-04-07,2025-04-16,,FRA clousre Delay,1036.0,5.0,,,,,,Twinkle,2025-04-17 00:00:00,Plain,,0.0,
F325AHTS6858,2025-04-02,,,5005713670.0,2025-04-02,63 / 02.04.2025,2025-04-02,889040,2025-03-26 00:00:00,FLYWING CARGO,GJ4-25005168,2025-03-26 00:00:00,4.0,913.75,ORBIT EXPORTS LTD,,NON GC,3310058722,ABFRL,SHIRT FABRIC,ASWW,AH,M,Woven,,,GRN Done,2025-04-05 00:00:00,Kamala,9065.0,3.0,207.0,Reject,,146.0,,3.0,,Pass,913.75,,2025-04-05,3,,,,,,Within TPT,,,,,,,,,2025-04-07 00:00:00,Plain,,0.0,
F325AHTS6862,2025-04-02,,,5005711671.0,2025-04-02,65 / 02.04.2025,2025-04-02,889060,2025-03-28 00:00:00,FLYWING CARGO,GJ4-25005210,2025-03-28 00:00:00,4.0,1039.0,ORBIT EXPORTS LTD,,NON GC,3310058725,ABFRL,SHIRT FABRIC,ASWW,AH,M,Woven,,,GRN Done,2025-04-05 00:00:00,Ujjwal,8044.0,3.0,206.75,Reject,,146.0,,5.0,,Pass,1039.0,,2025-04-16,14,1039.0,200007881,2025-04-07,2025-04-16,,FRA clousre Delay,1039.0,8.0,,,,,,Twinkle,2025-04-17 00:00:00,Plain,,0.0,
F325AHTS6861,2025-04-02,,,5005711673.0,2025-04-02,66 / 02.04.2025,2025-04-02,889059,2025-03-28 00:00:00,FLYWING CARGO,GJ4-25005209,2025-03-28 00:00:00,4.0,996.5,ORBIT EXPORTS LTD,,NON GC,3310058724,ABFRL,SHIRT FABRIC,ASWW,AH,M,Woven,,,GRN Done,2025-04-05 00:00:00,Bijay,7976.0,3.0,179.0,Reject,,143.0,,4.0,,Pass,996.5,,2025-04-16,14,996.5,200007867,2025-04-07,2025-04-16,,FRA clousre Delay,996.5,8.0,,,,,,Twinkle,2025-04-17 00:00:00,Plain,,0.0,
F325LPSH3203,2025-04-02,,,5005714284.0,2025-04-02,69 / 02.04.2025,2025-04-02,883664,2025-03-27 00:00:00,FLYWING CARGO,41345907,2025-03-26 00:00:00,22.0,1294.9,RAYMOND LUXURY COTTONS ,,GC,3310048440,ABFRL,SHIRT FABRIC,HOLP,LP,M,Woven,,,GRN Done,2025-04-05 00:00:00,,8508.0,,,,,147.0,,5.0,,Pass,1294.9,,2025-04-05,3,,,,,,Within TPT,,,,,,,,,2025-04-07 00:00:00,Plain,,0.0,
