Plant,Brand,Product,Material,Description,Stock Qty,Bin NO,Updated Date
F006,AS,RMTLABEL,TBASMNL0334N,As Edition 625 Main Size XL,1918,S0582,2025-03-12 00:00:00
F006,AS,RMTLABEL,TBASMNL0335N,As Edition 625 Main Size XXL,1007,S0581,2025-03-12 00:00:00
F006,AS,RMTLABEL,TBASMNL0350N,Allen Solly Bespoke shirt mail label siz,61260,S0545/S0481/S0457,2025-03-17 00:00:00
F006,AS,RMTLABEL,TBASMNL0474N,As  BESPOKE XPRESS LABEL,9400,S0546/S1548,2025-03-11 00:00:00
F006,AS,RMTLABEL,TBASMNLS0099N,As SLIM   SMART    44 MODRENT FIT,990,S1565,2025-02-22 00:00:00
F006,AS,RMTLABEL,TBASMNLS0105N,As COMFY SLIM   MODEREN    38,500,,
F006,AS,RMTLABEL,TBASMNLS0107N,As COMFY SLIM   MODEREN    42,300,S0715,2025-02-19 00:00:00
F006,AS,RMTLABEL,TBASMNLS0108N,As COMFY SLIM   MODEREN    44,200,S0715,2025-02-19 00:00:00
F006,AS,RMTLABEL,TBASMNLS0114N,As CROP   38 MODRENT FIT,2000,S0716,2025-02-19 00:00:00
F006,AS,RMTLABEL,TBASMNLS0115N,As CROP   40 MODRENT FIT,100,S0724,2025-02-20 00:00:00
F006,AS,RMTLABEL,TBASMNLS0117N,As CROP   44 MODRENT FIT,150,S0724,2025-02-20 00:00:00
F006,AS,RMTLABEL,TBASMNLS0128N,As SLIM   SMART    30 Air Port,500,S1546,2025-03-13 00:00:00
F006,AS,RMTLABEL,TBASMNLS0132N,As SLIM   SMART    38 Air Port,500,S1546,2025-03-13 00:00:00
F006,AS,RMTLABEL,TBASMNLS0133N,As SLIM   SMART    40 Air Port,800,S0715,2025-02-19 00:00:00
F006,AS,RMTLABEL,TBASMNLS0134N,As SLIM   SMART    42 Air Port,400,S0715,2025-02-19 00:00:00
F006,AS,RMTLABEL,TBASMNLS0135N,As SLIM   SMART    44 Air Port,300,S0715,2025-02-19 00:00:00
F006,AS,RMTLABEL,TBASMNLS0139N,As CROP   34 Air Port,300,S0573,2025-03-11 00:00:00
F006,AS,RMTLABEL,TBASMNLS0140N,As CROP   36 Air Port,2000,S0475,2025-03-14 00:00:00
F006,AS,RMTLABEL,TBASMNLS0142N,As CROP   40 Air Port,1700,S1546/S0475,2025-03-13 00:00:00
F006,AS,RMTLABEL,TBASMNLS0143N,As CROP   42 Air Port,700,S0475,2025-03-14 00:00:00
F006,AS,RMTLABEL,TBASMNLS0144N,As CROP   44 Air Port,300,S0475,2025-03-14 00:00:00
F006,AS,RMTLABEL,TBASMNLS0152N,AS REFLECTIVE AS SHIRT   SIZE-39,1670,S0450,2025-03-18 00:00:00
F006,AS,RMTLABEL,TBASMNLS0153N,AS REFLECTIVE AS SHIRT   SIZE-40,2939,S0450,2025-03-18 00:00:00
F006,AS,RMTLABEL,TBASMNLS0154N,As REFLECTIVE AS SHIRT   SIZE-42,3039,S0452,2025-03-18 00:00:00
F006,AS,RMTLABEL,TBASMNLS0155N,AS REFLECTIVE AS SHIRT   SIZE-44,1882,S0452,2025-03-18 00:00:00
F006,AS,RMTLABEL,TBASMNLS0156N,AS REFLECTIVE AS SHIRT   SIZE-46,941,S0450,2025-03-18 00:00:00
F006,AS,RMTLABEL,TBASMNLS0157N,AS REFLECTIVE AS SHIRT   SIZE-48,650,S0450,2025-03-18 00:00:00
