Supplier Name,"Fabric Type 
(YD / Solid / Print)",Brand,Sub Brand,"Month
(MMM-YY)",Fabric Code,Fabric Content,"Inward Date 
(DD-MMM-YYYY)",MIGO Date,PO No.,"Actual Received 
Quantity","Quantity Passed 
Without EC","Quantity Passed 
With EC","Quantity 
Rejected","Reason for Rejected Qty
(If any Qty rejected then Pls  mention the exact reason here)",Approved EC %,FRA Qty,"Inspection Date 
(DD-MMM-YY)","Inspection 
Report No.","PO Full Width
(cms)","Actual Full Width Avg
(cms)",Diffrence,"Cuttable Width
(cms)","Lowest 
Index","Average 
Index  ","Highest 
Index","Area of FRA
(Lab / VI / CSV / SG / WD)",FRA No.,"FRA Raised Date
(DD-MMM-YY)","FRA Sent Date
(DD-MMM-YY)","FRA Closed Date
(DD-MMM-YY)","Total Days 
(Taken for Closure)","Status 
(Clear / EC / RTS / Pending)","CSV 
(OK/NOT OK)",FRA Reason,Final Agreed Decision
Penfabric Sdn. Berhad,Solids,HOAS,AS,2025-04-02 00:00:00,F520ASSH7401,100% Cotton,2025-04-10,2025-04-10,3310053829,1908.0,1908.0,,,,,1908.0,2025-04-15,9178.0,145.0,150.0,5.0,147.0,2.0,3.0,5.0,VI,200007981,2025-04-15,2025-04-15,2025-04-16,1,Clear,Not OK,Contamination,3% EC qty need to post brand cost centre
Penfabric Sdn. Berhad,Solids,HOAS,AS,2025-04-02 00:00:00,F520ASSH7407,100% Cotton,2025-04-10,2025-04-10,3310053829,1340.0,1340.0,,,,,1340.0,2025-04-12,7817.0,145.0,151.0,6.0,148.0,33.0,35.0,36.0,VI,200007977,2025-04-15,2025-04-15,2025-04-16,1,Clear,Not OK,Contamination,3% EC qty need to post brand cost centre
Penfabric Sdn. Berhad,Solids,HOAS,AS,2025-04-02 00:00:00,F520ASSH7408,100% Cotton,2025-04-10,2025-04-10,3310053829,2715.0,2715.0,,,,,2715.0,2025-04-12,8784.0,145.0,151.0,6.0,148.0,4.0,6.0,17.0,VI,200007974,2025-04-15,2025-04-15,2025-04-16,1,Clear,Not OK,Contamination,3% EC qty need to post brand cost centre
Penfabric Sdn. Berhad,Solids,HOAS,AS,2025-04-02 00:00:00,FA1ASSH253,100% Cotton,2025-04-10,2025-04-10,3310053829,1269.0,1269.0,,,,,1269.0,2025-04-15,8718.0,145.0,151.0,6.0,148.0,13.0,14.0,14.0,VI,200007980,2025-04-15,2025-04-15,2025-04-16,1,Clear,Not OK,"Contamination,off shade",3% EC qty need to post brand cost centre
Penfabric Sdn. Berhad,Solids,HOAS,AS,2025-04-02 00:00:00,FA1ASSH251,100% Cotton,2025-04-10,2025-04-10,3310053829,1040.0,1040.0,,,,,1040.0,2025-04-12,8714.0,145.0,150.0,5.0,147.0,7.0,12.0,19.0,VI,200007978,2025-04-15,2025-04-15,2025-04-16,1,Clear,Not OK,Contamination,3% EC qty need to post brand cost centre
Penfabric Sdn. Berhad,Solids,HOAS,AS,2025-04-02 00:00:00,FA1ASSH250,100% Cotton,2025-04-10,2025-04-10,3310053829,875.0,875.0,,,,,875.0,2025-04-12,7821.0,145.0,150.0,5.0,147.0,35.0,36.0,38.0,VI,200007976,2025-04-15,2025-04-15,2025-04-16,1,Clear,Not OK,Contamination,3% EC qty need to post brand cost centre
Penfabric Sdn. Berhad,Solids,HOAS,AS,2025-04-02 00:00:00,FA1ASSH252,100% Cotton,2025-04-10,2025-04-10,3310053829,1168.0,1168.0,,,,,1168.0,2025-04-12,7820.0,145.0,151.0,6.0,148.0,5.0,6.0,8.0,VI / SG,200007975,2025-04-15,2025-04-15,2025-04-16,1,Clear,Not OK,"Contamination,off shade",3% EC qty need to post brand cost centre
Auro Textiles,Solids,HOAS,AS,2025-04-02 00:00:00,F323ASSH5904,100% Cotton,2025-04-10,2025-04-10,3310053669,1557.0,,1557.0,,Contamination,5.0,1557.0,2025-04-12,8085.0,138.0,153.0,15.0,149.0,43.0,48.0,50.0,VI,200007973,2025-04-15,2025-04-15,2025-04-17,2,EC,OK,Contamination,Accepted with 5% EC for recut
Arama Tessile,Print,HOAS,AS,2025-04-02 00:00:00,F325ASSH6122,100% Cotton,2025-04-09,2025-04-09,3310051822,585.0,585.0,,,,,585.0,2025-04-12,9175.0,138.0,144.0,6.0,141.0,3.0,4.0,5.0,SG,200007970,2025-04-15,2025-04-15,2025-04-16,1,Clear,Not OK,Off shade,Shades Approved by brand
Arama Tessile,Print,HOAS,AS,2025-04-02 00:00:00,F325ASSH6119,100% Cotton,2025-04-09,2025-04-09,3310051818,630.0,630.0,,,,,630.0,2025-04-12,8230.0,138.0,144.0,6.0,141.0,12.0,12.0,13.0,SG,200007949,2025-04-15,2025-04-15,2025-04-16,1,Clear,Not OK,Off shade,Shades Approved by brand
Ankush Knitting Works Pvt Ltd,Solids,HOLP,LP,2025-04-02 00:00:00,F324LYSH3020,100% Cotton,2025-04-11,2025-04-11,3310048651,459.58,,,459.58,Soak test,,459.58,2025-04-10,8949.0,137.0,238.0,101.0,234.0,9.0,16.0,18.0,Lab,200007828,2025-04-16,2025-04-16,2025-04-16,0,RTS,OK,Lab soak test,RTS
Auro Textiles,Print,HOLP,LP,2025-04-02 00:00:00,F525LYSH7100,100% Cotton,2025-04-11,2025-04-11,3310054257,956.0,,,956.0,Bowing,,956.0,2025-04-12,8090.0,144.0,138.0,-6.0,134.0,2.0,2.0,3.0,VI,200007827,2025-04-16,2025-04-16,2025-04-24,6,RTS,OK,"Print bowing 7.2%,less width",RTS
Auro Textiles,Print,HOAS,AS,2025-04-02 00:00:00,F521ASSH7135,100% Cotton,2025-04-10,2025-04-10,3310057246,1439.0,,1439.0,,Contamination,5.0,1439.0,2025-04-12,8086.0,145.0,148.0,3.0,144.0,56.0,67.0,74.0,VI,200007884,2025-04-16,2025-04-16,2025-04-24,6,EC,OK,Contamination,Accepted with 5% EC for recut based the approval
Raymond Luxury Cottons Ltd,Solids,HOLP,LP,2025-04-02 00:00:00,F1LPS0062,100% Cotton,2025-04-12,2025-04-12,3310055307,1663.0,1623.0,,40.0,Wrong bale,,1663.0,2025-04-16,8281.0,137.0,146.0,9.0,142.0,4.0,7.0,10.0,WD,200007928,2025-04-17,2025-04-17,2025-04-17,0,Clear,OK,Wrong bale,Wrong bale - 40 mtrs RTS balance ok
Auro Textiles,Print,HOLP,LP,2025-04-02 00:00:00,F525LYSH7127,100% Cotton,2025-04-12,2025-04-12,3310054288,925.0,,,925.0,Bowing,,925.0,2025-04-17,9190.0,144.0,137.0,-7.0,134.0,5.0,6.0,7.0,VI,200008028,2025-04-18,2025-04-18,2025-04-24,4,RTS,OK,"Print bowing 7.8%,less width ",RTS
Auro Textiles,Solids,HOLP,LP,2025-04-02 00:00:00,F325ASSH1154,100% Cotton,2025-04-12,2025-04-12,3310058745,1021.0,,,1021.0,seam slippage,,1021.0,2025-04-17,8801.0,145.0,146.0,1.0,142.0,9.0,12.0,19.0,Lab,200008014,2025-04-18,2025-04-18,2025-04-24,4,RTS,OK,Lab seam slippage weft 9.2*,RTS
W F B Baird & Company (India),Solids,HOAS,AS,2025-04-02 00:00:00,F325ASSH6062,100% Cotton,2025-04-15,2025-04-15,3310053667,816.6,816.6,,,,,816.6,2025-04-19,8731.0,147.0,149.0,2.0,146.0,21.0,29.0,37.0,VI,200007994,2025-04-19,2025-04-19,2025-04-22,2,Clear,OK,"All roll continue streaky,off shade",Streaky Approved after wash - shades approved by brand
Shahlon Silk Industries Pvt Ltd,Solids,VHWW,VW,2025-04-02 00:00:00,F324VWTS6286,100% Cotton,2025-04-15,2025-04-15,3310041611,969.7,,,969.7,"Stain,yarn pull",,969.7,2025-04-16,9188.0,110.0,112.0,2.0,110.0,46.0,79.0,121.0,VI,200007991,2025-04-19,2025-04-19,2025-04-23,3,RTS,OK,"Stain, Yarn pull",RTS
Louvre Textile Co Ltd,Solids,HOLP,LP,2025-04-02 00:00:00,F525LPSH6905,100% Cotton,2025-04-12,2025-04-12,3310053871,1611.0,1611.0,,,,,1611.0,2025-04-18,8137.0,150.0,155.0,5.0,152.0,8.0,9.0,10.0,VI,200007992,2025-04-19,2025-04-19,2025-04-22,2,Clear,OK,All roll Neps,As discussed& review bit with Ravi sir & Jothi sir will close 3%EC to Sourcing cost center
Louvre Textile Co Ltd,Solids,HOLP,LP,2025-04-02 00:00:00,F525LPSH6864,100% Cotton,2025-04-12,2025-04-12,3310053871,1636.6,1636.6,,,,,1636.6,2025-04-19,8519.0,150.0,153.0,3.0,150.0,5.0,8.0,12.0,VI,200007993,2025-04-19,2025-04-19,2025-04-21,1,Clear,OK,Crease mark,130 mtrs accepted with 5% EC post for cost centre balance w/o EC
Louvre Textile Co Ltd,Solids,HOLP,LP,2025-04-02 00:00:00,F525LPSH6912,100% Cotton,2025-04-12,2025-04-12,3310053871,1524.0,1524.0,,,,,1524.0,2025-04-19,8982.0,150.0,153.0,3.0,152.0,6.0,10.0,13.0,VI,200007995,2025-04-19,2025-04-19,2025-04-22,2,Clear,OK,All roll neps,As discussed& review bit with Ravi sir & Jothi sir will close 3%EC to Sourcing cost center
Auro Textiles,Print,HOLP,LP,2025-04-02 00:00:00,F525LYSH7117,100% Cotton,2025-04-15,2025-04-15,3310054279,1123.0,,,1123.0,Bowing,,1123.0,2025-04-19,9191.0,144.0,137.0,-7.0,134.0,4.0,5.0,5.0,VI,200007829,2025-04-19,2025-04-19,2025-04-24,3,RTS,OK,"Bowing 5.8*, less width",RTS
W F B Baird & Company (India),Solids,HOAS,AS,2025-04-02 00:00:00,F325ASSH6061,100% Cotton,2025-04-15,2025-04-15,3310053658,801.976,801.976,,,,,801.976,2025-04-21,8278.0,147.0,146.0,-1.0,142.0,16.0,16.0,17.0,VI,200007909,2025-04-21,2025-04-21,2025-04-22,1,Clear,OK,Streaky,Streaky Approved after wash 
W F B Baird & Company (India),Solids,HOAS,AS,2025-04-02 00:00:00,F325ASSH6060,100% Cotton,2025-04-15,2025-04-15,3310053657,812.262,812.262,,,,,812.262,2025-04-21,8630.0,147.0,146.0,-1.0,142.0,35.0,38.0,46.0,VI,200007908,2025-04-21,2025-04-21,2025-04-22,1,Clear,OK,Streaky,Streaky Approved after wash 
Aarti International Ltd,Solids,HOLP,LP,2025-04-02 00:00:00,F525LRKP6387,100% Cotton,2025-04-15,2025-04-15,3310054471,41.9,41.9,,,,,41.9,2025-04-21,8988.0,176.0,177.0,1.0,174.0,19.0,29.0,40.0,VI,200008093,2025-04-22,2025-04-22,2025-04-23,1,Clear,OK,Holes,Considering trim fabric Accepted w/o EC
Ankush Knitting Works Pvt Ltd,Solids,HOLP,LP,2025-04-02 00:00:00,F324LYSH2446,100% Cotton,2025-04-15,2025-04-15,3310048606,262.58,,262.58,,Holes,2.0,262.58,2025-04-21,8992.0,137.0,228.0,91.0,225.0,31.0,35.0,45.0,VI,200008091,2025-04-22,2025-04-22,2025-04-24,2,EC,Not OK,Holes,Accepted with 4% EC for recut
Louvre Textile Co Ltd,Yarn Dyed,HOLP,LP,2025-04-02 00:00:00,F525LPSH6924,100% Cotton,2025-04-16,2025-04-16,3310053657,1481.5,1481.5,,,,,1481.5,2025-04-21,8738.0,150.0,155.0,5.0,152.0,8.0,9.0,10.0,Lab,200008090,2025-04-22,2025-04-22,2025-04-23,1,Clear,OK,Lab DP rating 2.5*,Lab Approved Accepted w/o EC
Louvre Textile Co Ltd,Yarn Dyed,HOLP,LP,2025-04-02 00:00:00,F525LPSH6911,100% Cotton,2025-04-16,2025-04-16,3310053657,1591.9,1591.9,,,,,1591.9,2025-04-21,8146.0,150.0,153.0,3.0,150.0,11.0,13.0,15.0,Lab,200007939,2025-04-22,2025-04-22,2025-04-23,1,Clear,OK,Lab DP rating 2.5*,Lab Approved Accepted w/o EC
Sri Balaji Textures,Yarn Dyed,VH CORP,VH,2025-04-02 00:00:00,F323VSSH4438,100% Cotton,2025-04-16,2025-04-16,3310053657,374.0,,374.0,,Holes,4.0,374.0,2025-04-21,8991.0,147.0,201.0,54.0,198.0,26.0,37.0,50.0,VI,200008092,2025-04-22,2025-04-22,2025-04-24,2,EC,OK,Holes,Accepted with 4% EC for recut
Sri Balaji Textures,Yarn Dyed,VH CORP,VH,2025-04-02 00:00:00,F323VSSH4438,100% Cotton,2025-04-16,2025-04-16,3310053657,30.0,,30.0,,Holes,4.0,30.0,2025-04-21,8991.0,147.0,201.0,54.0,198.0,26.0,37.0,50.0,VI,200007872,2025-04-22,2025-04-22,2025-04-24,2,EC,OK,Holes,Accepted with 4% EC for recut
Sri Balaji Textures,Yarn Dyed,VH CORP,VH,2025-04-02 00:00:00,F323VSSH4440,100% Cotton,2025-04-16,2025-04-16,3310053385,109.1,,109.1,,"Holes,broken pick",4.0,109.1,2025-04-22,9000.0,147.0,205.0,58.0,202.0,32.0,32.0,33.0,VI,200007877,2025-04-23,2025-04-23,2025-04-24,1,EC,OK,"Holes,broken pick",Accepted with 4% EC for recut
Auro Textiles,Print,HOLP,LP,2025-04-02 00:00:00,F523LYSH3977,100% Cotton,2025-04-17,2025-04-17,3310054234,758.0,,758.0,,csv,3.0,758.0,2025-04-22,8156.0,144.0,137.0,-7.0,134.0,7.0,11.0,14.0,VI,200007876,2025-04-23,2025-04-23,2025-04-24,1,EC,Not OK,"CSV,less width 137cm ( sap width - 144cm)",Accepted with 3% EC for csv
Geervani Impex,Print,HOAS,AS,2025-04-02 00:00:00,F325ALSH6740,100% Cotton,2025-04-19,2025-04-19,3310057440,610.0,487.0,,123.0,Off shade,,610.0,2025-04-22,8747.0,140.0,145.0,5.0,142.0,16.0,16.0,16.0,SG,200007875,2025-04-23,2025-04-23,2025-04-24,1,Clear,OK,Off shade,Shade C- 123 mtrs RTS balance ok
Geervani Impex,Print,HOAS,AS,2025-04-02 00:00:00,F325ALSH6733,100% Cotton,2025-04-19,2025-04-19,3310057682,649.0,,649.0,,Bowing,3.0,649.0,2025-04-22,8811.0,140.0,148.0,8.0,145.0,3.0,3.0,4.0,VI,200007874,2025-04-23,2025-04-23,2025-04-24,1,EC,OK,Bowing 4.5%,Accepted with 3% EC for buffer marker
Geervani Impex,Print,HOAS,AS,2025-04-02 00:00:00,F325ALSH6742,100% Cotton,2025-04-19,2025-04-19,3310057441,642.0,522.0,,120.0,Off shade,,642.0,2025-04-22,8810.0,140.0,142.0,2.0,139.0,6.0,6.0,7.0,SG,200007873,2025-04-23,2025-04-23,2025-04-24,1,Clear,OK,Off shade,Shade B- 120 mtrs RTS balance ok
Auro Textiles,Print,HOLP,LP,2025-04-02 00:00:00,F525LYSH7114,100% Cotton,2025-04-17,2025-04-17,3310054274,756.0,,,756.0,Bowing,,756.0,2025-04-23,8332.0,144.0,138.0,-6.0,134.0,4.0,5.0,5.0,VI,200008039,2025-04-24,2025-04-24,2025-04-24,0,RTS,OK,Print bowing 10.5%,RTS
Ankush Knitting Works Pvt Ltd,Solids,HOLP,LP,2025-04-02 00:00:00,F324LYSH2441,100% Cotton,2025-04-19,2025-04-19,3310054212,351.91,,351.91,,"Holes,warp line",3.0,351.91,2025-04-24,8637.0,144.0,228.0,84.0,224.0,18.0,26.0,35.0,VI,200008038,2025-04-24,2025-04-24,2025-04-24,0,EC,OK,"Holes,warp line",Accepted with 3% EC for recut
Raymond Luxury Cottons Ltd,Yarn Dyed,HOAS,AS,2025-04-02 00:00:00,F325AOSH5375,100% Cotton,2025-04-17,2025-04-17,3310057610,1024.5,1024.5,,,,,1024.5,2025-04-23,9611.0,140.0,145.0,5.0,142.0,1.0,1.0,1.0,SG,200008037,2025-04-24,2025-04-24,2025-04-24,0,Clear,OK,Off shade,Shades Approved by brand
Auro Textiles,Solids,HOAS,AS,2025-04-02 00:00:00,F325ALSH5109,100% Cotton,2025-04-18,2025-04-18,3310047351,1032.0,,1032.0,,Contamination,3.0,1032.0,2025-04-23,8329.0,145.0,145.0,0.0,142.0,23.0,31.0,37.0,VI,200008036,2025-04-24,2025-04-24,2025-04-24,0,EC,OK,Contamination,Accepted with 3% EC for recut
Auro Textiles,Print,HOAS,AS,2025-04-02 00:00:00,F325ASSH6591,100% Cotton,2025-04-19,2025-04-19,3310053753,774.0,,,774.0,Bowing,,774.0,2025-04-24,8817.0,138.0,137.0,-1.0,134.0,4.0,7.0,8.0,VI,200008035,2025-04-24,2025-04-24,2025-04-25,1,RTS,Not OK,Print bowing 10.5%,RTS
Raymond Luxury Cottons Ltd,Solids,HOAS,AH,2025-04-02 00:00:00,F322AHSH2728,100% Cotton,2025-04-22,2025-04-22,3310050249,713.0,,713.0,,Broken pick,3.0,713.0,2025-04-24,8557.0,137.0,144.0,7.0,140.0,30.0,32.0,34.0,VI,200008120,2025-04-24,2025-04-24,2025-04-24,0,EC,Not OK,Broken pick,Accepted with 3% EC for recut
Raymond Luxury Cottons Ltd,Solids,HOAS,AH,2025-04-02 00:00:00,F322AHSH2728,100% Cotton,2025-04-23,2025-04-23,3310050249,310.5,,310.5,,Broken pick,3.0,310.5,2025-04-24,8562.0,137.0,146.0,9.0,140.0,31.0,32.0,33.0,VI,200008058,2025-04-24,2025-04-24,2025-04-24,0,EC,Not OK,Broken pick,Accepted with 3% EC for recut
Auro Textiles,Solids,HOLP,LP,2025-04-02 00:00:00,F523LYSH3977,100% Cotton,2025-04-17,2025-04-17,3310054233,330.0,,330.0,,CSV,2.0,330.0,2025-04-24,8639.0,144.0,139.0,-5.0,136.0,10.0,11.0,11.0,SG,200008132,2025-04-25,2025-04-25,2025-04-25,0,EC,Not OK,CSV ,Accepted with 2% EC for csv
Disha Clothings Private Ltd,Solids,HOAS,AS,2025-04-02 00:00:00,F325ASSH6851,100% Cotton,2025-04-18,2025-04-18,3310059668,556.0,,556.0,,Contamination,5.0,556.0,2025-04-24,8564.0,133.0,144.0,11.0,139.0,38.0,41.0,43.0,VI,200008059,2025-04-25,2025-04-25,2025-04-25,0,EC,Not OK,Contamination,Accepted with 5% EC for recut ( FDR - 7.3 Mtrs short closed)
Disha Clothings Private Ltd,Solids,HOAS,AS,2025-04-02 00:00:00,F325ASSH6853,100% Cotton,2025-04-18,2025-04-18,3310059670,585.0,,,585.0,Contamination,,585.0,2025-04-24,609.0,133.0,144.0,11.0,140.0,58.0,73.0,94.0,VI,200008141,2025-04-25,2025-04-25,2025-04-25,0,RTS,Not OK,"Contamination,starting mark",RTS
Shahlon Silk Industries Pvt Ltd,Solids,VHWW,VW,2025-04-02 00:00:00,F324VWTS6286,100% Polyester,2025-04-18,2025-04-18,3310056780,977.5,,977.5,,Stain,5.0,977.5,2025-04-25,8346.0,110.0,111.0,1.0,107.0,28.0,44.0,70.0,VI,200008140,2025-04-25,2025-04-25,2025-04-26,1,EC,OK,Stain,Accepted with 5% EC for recut
Shahlon Silk Industries Pvt Ltd,Solids,VHWW,VW,2025-04-02 00:00:00,F323VWTS5296,100% Polyester,2025-04-17,2025-04-17,3310041614,989.75,,989.75,,"Holes, Yarn pull",3.0,989.75,2025-04-25,8349.0,110.0,113.0,3.0,109.0,32.0,46.0,54.0,Lab / VI,200008006,2025-04-25,2025-04-25,2025-04-30,4,EC,OK,"Holes,lab tear strength 638*",Accepted with 3% EC for recut
Shahlon Silk Industries Pvt Ltd,Solids,VHWW,VW,2025-04-02 00:00:00,F323VWTS5296,100% Polyester,2025-04-18,2025-04-18,3310056779,967.0,,967.0,,Holes,3.0,967.0,2025-04-25,8348.0,110.0,110.0,0.0,106.0,49.0,91.0,170.0,Lab / VI,200008005,2025-04-25,2025-04-25,2025-04-30,4,EC,OK,"Holes,Yarn pull,lab tear strength 638*",Accepted with 3% EC for recut
Shahlon Silk Industries Pvt Ltd,Solids,VHWW,VW,2025-04-02 00:00:00,F323VWTS5293,100% Polyester,2025-04-18,2025-04-18,3310056777,991.25,,991.25,,Stain,2.0,991.25,2025-04-25,8347.0,110.0,113.0,3.0,109.0,25.0,35.0,43.0,VI,200008004,2025-04-25,2025-04-25,2025-04-30,4,EC,OK,Stain,Accepted with 2% EC for recut
Ankush Knitting Works Pvt Ltd,Yarn Dyed,PE,PE,2025-04-02 00:00:00,F323PEKP7422,100% Cotton,2025-04-19,2025-04-19,3310052962,215.83,,215.83,,Holes,3.0,215.83,2025-04-24,8647.0,152.0,169.0,17.0,166.0,21.0,31.0,39.0,VI,200008007,2025-04-25,2025-04-25,2025-04-26,1,EC,OK,Holes,Accepted with 3% EC for recut
Hai Minh Textile Trading Ltd,Solids,HOLP,LP,2025-04-02 00:00:00,F323LYKP6191,100% Cotton,2025-04-21,2025-04-21,3310054142,364.8,364.8,,,,,364.8,2025-04-25,617.0,149.0,182.0,33.0,178.0,17.0,24.0,29.0,VI,200008008,2025-04-25,2025-04-25,2025-04-26,1,Clear,OK,Missing end,Considering Import fabric Accepted w/o EC ( Jothi sir)
Hai Minh Textile Trading Ltd,Solids,HOLP,LP,2025-04-02 00:00:00,F323LYKP6187,100% Cotton,2025-04-21,2025-04-21,3310054142,423.9,423.9,,,,,423.9,2025-04-25,8652.0,149.0,185.0,36.0,182.0,17.0,20.0,33.0,VI,200007959,2025-04-25,2025-04-25,2025-04-26,1,Clear,OK,Streaky,Considering Import fabric Accepted w/o EC ( Jothi sir)
SJK Trading India Pvt Ltd,Solids,HOAS,AS,2025-04-02 00:00:00,F525ASSH6773,100% Cotton,2025-04-22,2025-04-22,3310061546,366.7,,312.7,54.0,"Less width,cut pieces",2.0,366.7,2025-04-26,8193.0,140.0,136.0,-4.0,133.0,7.0,16.0,24.0,VI,200008122,2025-04-26,2025-04-26,2025-04-26,0,EC,OK,3 mtrs Cut pieces,One roll - 54 mtrs RTS balance 2% EC for less width
SJK Trading India Pvt Ltd,Solids,HOAS,AS,2025-04-02 00:00:00,F525ASSH6768,100% Cotton,2025-04-22,2025-04-22,3310061572,903.7,,903.7,,Stain,5.0,903.7,2025-04-26,9708.0,140.0,170.0,30.0,166.0,52.0,60.0,70.0,VI,200007878,2025-04-26,2025-04-26,2025-04-28,1,EC,OK,Stain,Accepted with 5% EC for recut
SJK Trading India Pvt Ltd,Solids,HOAS,AS,2025-04-02 00:00:00,F525ASSH6759,100% Cotton,2025-04-22,2025-04-22,3310061541,1002.3,1002.3,,,,,1002.3,2025-04-26,8658.0,140.0,170.0,30.0,167.0,6.0,9.0,11.0,VI,200007879,2025-04-26,2025-04-26,2025-04-30,3,Clear,OK,Weft streaky,Approved VC code
Auro Textiles,Print,HOAS,AS,2025-04-02 00:00:00,F325ASSH6991,100% Cotton,2025-04-23,2025-04-23,3310058720,854.0,,,854.0,Contamination,,854.0,2025-04-26,203.0,,137.0,137.0,134.0,5.0,7.0,9.0,VI,200008170,2025-04-28,2025-04-28,2025-04-28,0,RTS,OK,Contamination in every mtrs,RTS
W F B Baird & Company (India),Solids,HOAS,AS,2025-04-02 00:00:00,F325ASSH6149,100% Cotton,2025-04-23,2025-04-23,3310053713,912.541,,912.541,,"CSV,Less width",5.0,912.541,2025-04-26,8587.0,143.0,139.0,-4.0,136.0,15.0,16.0,18.0,VI / CSV,200008171,2025-04-28,2025-04-28,2025-04-28,0,EC,Not OK,"CSV,lESs width 139cm ( sap width - 143cm)","Accepted with 5% EC for less width,csv"
Hai Minh Textile Trading Ltd,Solids,HOLP,LP,2025-04-02 00:00:00,F323LYKP6186,100% Cotton,2025-04-21,2025-04-21,3310054142,526.0,,526.0,,Missing end,1.0,526.0,2025-04-25,621.0,149.0,193.0,44.0,189.0,10.0,25.0,59.0,VI,200007887,2025-04-28,2025-04-28,2025-04-30,3,EC,OK,Missing end,Accepted with 1% EC for recut
Ankush Knitting Works Pvt Ltd,Solids,HOLP,LP,2025-04-02 00:00:00,F525LYSH6347,100% Cotton,2025-04-24,2025-04-24,3310054264,507.74,485.24,,22.5,Rubber mark,,507.74,2025-04-28,639.0,144.0,228.0,84.0,225.0,11.0,16.0,28.0,VI,200008180,2025-04-29,2025-04-29,2025-04-29,0,Clear,OK,Rubber mark,22.5 kg RTS balance ok
Ankush Knitting Works Pvt Ltd,Solids,HOLP,LP,2025-04-02 00:00:00,F525LYSH6347,100% Cotton,2025-04-24,2025-04-24,3310054264,484.56,,484.56,,"Holes,rubber mark",3.0,484.56,2025-04-29,641.0,144.0,228.0,84.0,225.0,19.0,28.0,42.0,VI,200008181,2025-04-29,2025-04-29,2025-04-29,0,EC,OK,"Rubber mark,holes",Accepted with 3% EC for recut
Auro Textiles,Print,HOAS,AS,2025-04-02 00:00:00,F325AOSH5829,100% Cotton,2025-04-24,2025-04-24,3310057606,923.0,,923.0,,Patches,2.0,923.0,2025-04-28,8595.0,140.0,138.0,-2.0,134.0,6.0,27.0,45.0,VI,200008183,2025-04-29,2025-04-29,2025-04-29,0,EC,OK,Patches,Accepted with 2% EC for recut
Sri Balaji Textures,Print,HOAS,AS,2025-04-02 00:00:00,F325ATSH2297,100% Cotton,2025-04-25,2025-04-25,3310048136,255.8,,255.8,,"Cut pieces, Holes",4.0,255.8,2025-04-28,8667.0,145.0,158.0,13.0,153.0,26.0,37.0,63.0,VI,200008182,2025-04-29,2025-04-29,2025-04-29,0,EC,Not OK,"Holes,cut pieces",Accepted with 4% EC for recut
Cotonificio Albini Spa,Solids,HOLP,LP,2025-04-03 00:00:00,F325LXSH7165,100% Cotton,2025-03-28,2025-03-28,3310051434,248.32,243.527,,4.793000000000006,,,248.32,2025-04-02,,137.0,146.0,,,,,,,400004790,2025-04-02,2025-04-02,2025-04-05,1,,OK,Mtrs shortage ,4.7 Mtrs posting for sourcing cost centre
Arvind Ltd,Solids,HOLP,LP,2025-04-04 00:00:00,F325LPSH2426,100% Cotton,2025-03-28,2025-03-28,3310048433,2302.0,2271.614,,30.385999999999967,,,2302.0,2025-04-02,,137.0,147.0,,,,,,,400004792,2025-04-02,2025-04-02,2025-04-03,1,,OK,Mtrs shortage ,30.3 Mtrs short closed
Arvind Ltd,Solids,HOLP,LP,2025-04-05 00:00:00,F324LPSH5036,100% Cotton,2025-03-28,2025-03-28,3310041978,1013.0,994.969,,18.03099999999995,,,1013.0,2025-04-02,,137.0,150.0,,,,,,,400004791,2025-04-02,2025-04-02,2025-04-03,1,,OK,Mtrs shortage ,18 Mtrs short closed
Nsl Textiles Limited,Solids,HOAS,AS,2025-04-07 00:00:00,F325ABSH778,100% Cotton,2025-03-29,2025-03-29,3310052181,1235.0,1219.81,,15.190000000000055,,,1235.0,2025-04-02,,139.0,144.0,,,,,,,400004793,2025-04-02,2025-04-02,2025-04-03,1,,OK,Mtrs shortage ,15.1 Mtrs short closed
Krishna Alkali (Bombay) Pvt Ltd,Solids,SC,SC,2025-04-08 00:00:00,F325SCSH7860,100% Cotton,2025-04-02,2025-04-02,3310052586,389.5,382.372,,7.127999999999986,,,389.5,2025-04-04,,142.0,150.0,,,,,,,400004607,2025-04-04,2025-04-04,2025-04-04,3,,OK,Mtrs shortage ,7.1 Mtrs short closed
Arvind Ltd,Solids,HOLP,LP,2025-04-09 00:00:00,F325LYSH3544,100% Cotton,2025-04-02,2025-04-02,3310048687,1600.0,1578.24,,21.75999999999999,,,1600.0,2025-04-05,,137.0,150.0,,,,,,,400004718,2025-04-05,2025-04-05,2025-04-07,1,,OK,Mtrs shortage ,21.7 Mtrs short closed
Arvind Ltd,Solids,HOLP,LP,2025-04-10 00:00:00,F325LPSH4905,100% Cotton,2025-04-02,2025-04-02,3310048459,1409.0,1403.0,,6.0,,,1409.0,2025-04-05,,137.0,145.0,,,,,,,400004717,2025-04-05,2025-04-05,2025-04-07,1,,OK,Mtrs shortage ,6 Mtrs short closed
